,A2R Pref,Red Pref,Steps,Wall,Green,Red,Yellow,A2R,Reward
0,-20.0,-20.0,14.752,0.02,2.368,0.888,1.692,2.072,0.16326667112112045
1,-20.0,-15.0,14.652,0.004,2.592,1.044,1.644,1.924,0.17769091650098562
2,-20.0,-10.0,14.412,0.004,2.488,0.988,1.612,1.972,0.2018000072091818
3,-20.0,-5.0,14.008,0.0,2.516,1.04,1.7,1.932,0.22144445426762105
4,-20.0,0.0,14.276,0.004,2.548,1.056,1.736,1.896,0.24345001197606325
5,-20.0,5.0,14.28,0.0,2.516,1.056,1.704,1.944,0.22446667639166118
6,-20.0,10.0,14.376,0.008,2.5,1.048,1.652,1.952,0.19636000775545837
7,-20.0,15.0,14.656,0.004,2.556,0.96,1.7,2.04,0.18449091666191816
8,-20.0,20.0,15.228,0.024,2.488,0.968,1.708,2.032,0.17056667125225067
9,-15.0,-20.0,15.08,0.004,2.432,0.824,1.72,2.128,0.17676364335417746
10,-15.0,-15.0,14.724,0.028,2.52,0.888,1.7,2.088,0.1909200072810054
11,-15.0,-10.0,13.984,0.004,2.612,0.996,1.748,1.98,0.2154000095501542
12,-15.0,-5.0,14.048,0.064,2.5,0.94,1.66,2.0,0.23842501090466975
13,-15.0,0.0,13.872,0.004,2.596,1.06,1.712,1.896,0.27368570571392775
14,-15.0,5.0,14.176,0.004,2.532,1.06,1.7,1.94,0.24047501144558192
15,-15.0,10.0,14.128,0.004,2.516,1.052,1.728,1.948,0.22371112064272164
16,-15.0,15.0,14.456,0.004,2.508,1.116,1.68,1.884,0.197720007494092
17,-15.0,20.0,14.74,0.016,2.488,0.936,1.648,2.064,0.18387273409962654
18,-10.0,-20.0,15.972,0.024,2.4,0.476,1.58,2.504,0.18956000740081072
19,-10.0,-15.0,14.844,0.004,2.412,0.66,1.6,2.3,0.20708889809250833
20,-10.0,-10.0,14.448,0.012,2.512,0.844,1.648,2.108,0.23495001167058946
21,-10.0,-5.0,14.184,0.016,2.56,0.948,1.704,2.016,0.26494284912198784
22,-10.0,0.0,14.04,0.0,2.456,0.932,1.632,2.012,0.3083333370760083
23,-10.0,5.0,13.864,0.004,2.544,1.068,1.748,1.932,0.27127142033725976
24,-10.0,10.0,14.476,0.016,2.532,1.036,1.72,1.964,0.23665001187473536
25,-10.0,15.0,14.268,0.008,2.54,1.048,1.712,1.952,0.211622231669724
26,-10.0,20.0,14.684,0.004,2.576,1.12,1.748,1.88,0.1950000077262521
27,-5.0,-20.0,16.7,0.012,2.372,0.188,1.528,2.796,0.2029333422780037
28,-5.0,-15.0,15.728,0.024,2.336,0.408,1.604,2.572,0.2328250115737319
29,-5.0,-10.0,15.008,0.008,2.408,0.624,1.672,2.336,0.26008570624887944
30,-5.0,-5.0,14.628,0.0,2.528,0.864,1.712,2.116,0.2998333372250199
31,-5.0,0.0,14.148,0.0,2.46,0.86,1.68,2.116,0.36160000921040775
32,-5.0,5.0,14.144,0.008,2.544,1.004,1.68,1.996,0.30323333717882633
33,-5.0,10.0,14.216,0.012,2.548,1.028,1.704,1.972,0.26639999182522295
34,-5.0,15.0,14.108,0.076,2.572,1.024,1.704,1.976,0.232475011639297
35,-5.0,20.0,14.388,0.004,2.632,1.052,1.664,1.948,0.21388889825344085
36,0.0,-20.0,17.372,0.04,2.292,0.1,1.54,2.888,0.22900001145899296
37,0.0,-15.0,16.488,0.028,2.32,0.208,1.584,2.76,0.261057134591043
38,0.0,-10.0,16.088,0.036,2.332,0.38,1.612,2.6,0.2981333371773362
39,0.0,-5.0,15.36,0.02,2.448,0.636,1.664,2.34,0.3541200092434883
40,0.0,0.0,14.764,0.004,2.456,0.812,1.636,2.156,0.4432000176012516
41,0.0,5.0,14.212,0.012,2.516,0.948,1.708,2.052,0.35548000928014517
42,0.0,10.0,14.504,0.016,2.48,1.072,1.692,1.928,0.3004000038728118
43,0.0,15.0,14.036,0.068,2.536,1.08,1.68,1.92,0.25232856357097627
44,0.0,20.0,14.364,0.088,2.5,1.068,1.652,1.932,0.2303500115275383
45,5.0,-20.0,18.752,0.028,2.128,0.02,1.464,2.976,0.20028889782726764
46,5.0,-15.0,18.272,0.052,2.212,0.044,1.512,2.956,0.22942501153051853
47,5.0,-10.0,17.24,0.032,2.36,0.152,1.516,2.836,0.25911427761614325
48,5.0,-5.0,16.232,0.06,2.348,0.332,1.644,2.636,0.30550000396370885
49,5.0,0.0,14.772,0.016,2.52,0.612,1.64,2.344,0.35956000901013613
50,5.0,5.0,14.94,0.064,2.432,0.756,1.66,2.244,0.3014666705578566
51,5.0,10.0,14.28,0.012,2.516,0.924,1.728,2.076,0.2639714203253388
52,5.0,15.0,14.576,0.008,2.492,1.008,1.704,1.992,0.23282501164078712
53,5.0,20.0,14.42,0.0,2.576,1.08,1.684,1.92,0.21011112039536237
54,10.0,-20.0,20.092,0.036,2.22,0.008,1.456,2.992,0.18276000721752644
55,10.0,-15.0,19.324,0.04,2.184,0.008,1.424,2.992,0.20104445341974497
56,10.0,-10.0,18.912,0.088,2.372,0.024,1.512,2.976,0.23070001155138015
57,10.0,-5.0,17.772,0.052,2.26,0.088,1.444,2.904,0.26008570615202187
58,10.0,0.0,17.228,0.084,2.316,0.284,1.62,2.704,0.3004000038728118
59,10.0,5.0,15.932,0.036,2.328,0.448,1.624,2.552,0.26591427727043626
60,10.0,10.0,15.604,0.06,2.496,0.66,1.66,2.34,0.23630001182854177
61,10.0,15.0,14.716,0.016,2.444,0.836,1.676,2.164,0.21237778728455306
62,10.0,20.0,14.54,0.02,2.508,0.936,1.672,2.064,0.19364000766724349
63,15.0,-20.0,20.588,0.124,2.124,0.0,1.5,2.992,0.16161818856745958
64,15.0,-15.0,20.484,0.096,2.196,0.0,1.464,3.0,0.18072000712901354
65,15.0,-10.0,20.06,0.18,2.112,0.008,1.512,2.992,0.2007888978496194
66,15.0,-5.0,19.332,0.092,2.284,0.004,1.484,2.996,0.22730001136660577
67,15.0,0.0,18.624,0.108,2.2,0.012,1.46,2.976,0.26202856312692163
68,15.0,5.0,17.88,0.12,2.208,0.144,1.556,2.856,0.23665001145005227
69,15.0,10.0,17.272,0.08,2.34,0.352,1.592,2.648,0.20897778709977866
70,15.0,15.0,16.292,0.044,2.404,0.536,1.652,2.464,0.19534000772237778
71,15.0,20.0,15.888,0.044,2.476,0.644,1.644,2.356,0.17830909843742848
72,20.0,-20.0,21.424,0.068,2.076,0.0,1.492,3.0,0.14910000439733267
73,20.0,-15.0,20.68,0.14,2.064,0.0,1.452,3.0,0.16409091595560313
74,20.0,-10.0,20.284,0.156,2.192,0.0,1.484,3.0,0.18344000724703075
75,20.0,-5.0,19.652,0.176,2.172,0.0,1.46,2.996,0.20028889782726764
76,20.0,0.0,19.452,0.272,2.14,0.0,1.416,3.0,0.2252500112503767
77,20.0,5.0,19.22,0.224,2.164,0.012,1.472,2.988,0.20633334256708621
78,20.0,10.0,18.888,0.14,2.228,0.06,1.472,2.94,0.18888000746071337
79,20.0,15.0,17.844,0.14,2.356,0.212,1.496,2.788,0.1764545528963208
80,20.0,20.0,17.584,0.052,2.384,0.356,1.532,2.644,0.16383333818614482
