,Competitive,Cooperative,Lone 1 Capture,Lone 2 Capture,Lone 3 Capture,Lone Capture,Pair Capture,Team Capture
0,0.0,0.9700000286102295,11,18,21,50,145,55
1,0.12125000357627869,0.8487499952316284,12,18,13,43,148,58
2,0.24250000715255737,0.7275000214576721,14,17,16,47,145,58
3,0.36375001072883606,0.606249988079071,17,14,12,43,164,43
4,0.48500001430511475,0.48500001430511475,23,21,22,66,146,38
5,0.606249988079071,0.36375001072883606,24,38,22,84,136,30
6,0.7275000214576721,0.24250000715255737,24,45,36,105,123,22
7,0.8487499952316284,0.12125000357627869,30,53,39,122,114,14
8,0.9700000286102295,0.0,32,52,54,138,102,10
