,Competitive,Cooperative,Lone 1 Capture,Lone 2 Capture,Team Capture
0,0.0,0.9700000286102295,18,20,212
1,0.06062500178813934,0.909375011920929,38,35,177
2,0.12125000357627869,0.8487499952316284,29,24,197
3,0.18187500536441803,0.7881249785423279,24,33,193
4,0.24250000715255737,0.7275000214576721,22,40,188
5,0.3031249940395355,0.6668750047683716,30,42,178
6,0.36375001072883606,0.606249988079071,28,45,177
7,0.4243749976158142,0.5456249713897705,32,43,175
8,0.48500001430511475,0.48500001430511475,45,69,136
9,0.5456249713897705,0.4243749976158142,53,63,134
10,0.606249988079071,0.36375001072883606,48,71,131
11,0.6668750047683716,0.3031249940395355,59,78,113
12,0.7275000214576721,0.24250000715255737,69,77,104
13,0.7881249785423279,0.18187500536441803,59,82,109
14,0.8487499952316284,0.12125000357627869,59,116,75
15,0.909375011920929,0.06062500178813934,95,100,55
16,0.9700000286102295,0.0,77,115,58
