,Competitive 1,Competitive 2,Lone 1 Capture,Lone 2 Capture,Team Capture
0,0.0,0.0,33,27,190
1,0.0,0.12125000357627869,16,24,210
2,0.0,0.24250000715255737,16,35,199
3,0.0,0.36375001072883606,13,46,191
4,0.0,0.48500001430511475,17,57,176
5,0.0,0.606249988079071,17,90,143
6,0.0,0.7275000214576721,18,87,144
7,0.0,0.8487499952316284,31,68,151
8,0.0,0.9700000286102295,26,86,138
9,0.12125000357627869,0.0,32,20,198
10,0.12125000357627869,0.12125000357627869,22,28,200
11,0.12125000357627869,0.24250000715255737,30,37,183
12,0.12125000357627869,0.36375001072883606,25,49,176
13,0.12125000357627869,0.48500001430511475,19,58,173
14,0.12125000357627869,0.606249988079071,23,66,161
15,0.12125000357627869,0.7275000214576721,22,65,163
16,0.12125000357627869,0.8487499952316284,33,71,146
17,0.12125000357627869,0.9700000286102295,25,75,150
18,0.24250000715255737,0.0,35,24,191
19,0.24250000715255737,0.12125000357627869,26,27,197
20,0.24250000715255737,0.24250000715255737,35,41,174
21,0.24250000715255737,0.36375001072883606,19,47,184
22,0.24250000715255737,0.48500001430511475,36,52,162
23,0.24250000715255737,0.606249988079071,25,73,152
24,0.24250000715255737,0.7275000214576721,31,69,150
25,0.24250000715255737,0.8487499952316284,41,72,137
26,0.24250000715255737,0.9700000286102295,59,62,129
27,0.36375001072883606,0.0,38,14,198
28,0.36375001072883606,0.12125000357627869,34,28,188
29,0.36375001072883606,0.24250000715255737,28,41,181
30,0.36375001072883606,0.36375001072883606,40,48,162
31,0.36375001072883606,0.48500001430511475,28,55,167
32,0.36375001072883606,0.606249988079071,35,69,146
33,0.36375001072883606,0.7275000214576721,38,63,149
34,0.36375001072883606,0.8487499952316284,39,85,125
35,0.36375001072883606,0.9700000286102295,50,68,130
36,0.48500001430511475,0.0,54,22,174
37,0.48500001430511475,0.12125000357627869,44,22,184
38,0.48500001430511475,0.24250000715255737,42,37,171
39,0.48500001430511475,0.36375001072883606,35,43,172
40,0.48500001430511475,0.48500001430511475,39,53,158
41,0.48500001430511475,0.606249988079071,39,71,140
42,0.48500001430511475,0.7275000214576721,44,72,134
43,0.48500001430511475,0.8487499952316284,47,76,127
44,0.48500001430511475,0.9700000286102295,46,73,131
45,0.606249988079071,0.0,59,26,165
46,0.606249988079071,0.12125000357627869,57,23,170
47,0.606249988079071,0.24250000715255737,50,35,165
48,0.606249988079071,0.36375001072883606,49,51,150
49,0.606249988079071,0.48500001430511475,42,77,131
50,0.606249988079071,0.606249988079071,62,67,121
51,0.606249988079071,0.7275000214576721,55,86,109
52,0.606249988079071,0.8487499952316284,70,75,105
53,0.606249988079071,0.9700000286102295,68,70,112
54,0.7275000214576721,0.0,65,35,150
55,0.7275000214576721,0.12125000357627869,60,44,146
56,0.7275000214576721,0.24250000715255737,61,46,143
57,0.7275000214576721,0.36375001072883606,54,66,130
58,0.7275000214576721,0.48500001430511475,40,80,130
59,0.7275000214576721,0.606249988079071,61,62,127
60,0.7275000214576721,0.7275000214576721,69,93,88
61,0.7275000214576721,0.8487499952316284,74,71,105
62,0.7275000214576721,0.9700000286102295,72,89,89
63,0.8487499952316284,0.0,55,40,153
64,0.8487499952316284,0.12125000357627869,62,37,150
65,0.8487499952316284,0.24250000715255737,55,60,134
66,0.8487499952316284,0.36375001072883606,54,82,114
67,0.8487499952316284,0.48500001430511475,55,85,110
68,0.8487499952316284,0.606249988079071,61,103,86
69,0.8487499952316284,0.7275000214576721,76,102,72
70,0.8487499952316284,0.8487499952316284,74,94,82
71,0.8487499952316284,0.9700000286102295,83,105,62
72,0.9700000286102295,0.0,88,63,92
73,0.9700000286102295,0.12125000357627869,64,70,112
74,0.9700000286102295,0.24250000715255737,53,73,119
75,0.9700000286102295,0.36375001072883606,56,107,86
76,0.9700000286102295,0.48500001430511475,52,125,73
77,0.9700000286102295,0.606249988079071,47,117,86
78,0.9700000286102295,0.7275000214576721,68,118,64
79,0.9700000286102295,0.8487499952316284,57,120,73
80,0.9700000286102295,0.9700000286102295,75,98,77
